type,amount,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,9839.64,160296.36,0,0,0
PAYMENT,1864.28,19384.72,0,0,0
PAYMENT,11668.14,29885.86,0,0,0
PAYMENT,7107.77,176087.23,0,0,0
PAYMENT,7861.64,168225.59,0,0,0
PAYMENT,4024.36,0,0,0,0
DEBIT,9644.94,0,10845,157982.12,0
PAYMENT,3099.97,17671.03,0,0,0
PAYMENT,11633.76,0,0,0,0
CASH_OUT,229133.94,0,5083,51513.44,0
PAYMENT,1157.86,19998.14,0,0,0
PAYMENT,671.64,14451.36,0,0,0
TRANSFER,215310.3,0,22425,0,0
PAYMENT,1373.43,12480.57,0,0,0
DEBIT,9302.79,1996.21,29832,16896.7,0
DEBIT,1065.41,751.59,10330,0,0
PAYMENT,3876.41,63975.59,0,0,0
TRANSFER,311685.89,0,6267,2719172.89,0
PAYMENT,6061.13,0,0,0,0
PAYMENT,9478.39,107015.61,0,0,0
PAYMENT,8009.09,2958.91,0,0,0
PAYMENT,8901.99,0,0,0,0
PAYMENT,3448.92,0,0,0,0
PAYMENT,4206.84,0,0,0,0
PAYMENT,5885.56,0,0,0,0
PAYMENT,5307.88,0,0,0,0
PAYMENT,5031.22,0,0,0,0
PAYMENT,24213.67,0,0,0,0
PAYMENT,7413.54,290276.03,0,0,0
PAYMENT,3295.19,230337.81,0,0,0
PAYMENT,1684.81,0,0,0,0
DEBIT,5758.59,26845.41,209699,16997.22,0
CASH_OUT,110414.71,0,288800,2415.16,0
PAYMENT,7823.46,0,0,0,0
PAYMENT,5086.48,0,0,0,0
PAYMENT,13875.98,1942.02,0,0,0
CASH_OUT,5346.89,0,652637,6453430.91,0
PAYMENT,2204.04,0,0,0,0
PAYMENT,2641.47,20411.53,0,0,0
CASH_OUT,23261.3,0,25742,0,0
PAYMENT,2330.64,201212.36,0,0,0
PAYMENT,1614.64,39661.36,0,0,0
PAYMENT,9164.71,38071.06,0,0,0
PAYMENT,2970.97,35100.09,0,0,0
PAYMENT,38.66,16135.34,0,0,0
PAYMENT,2252.44,0,0,0,0
TRANSFER,62610.8,16503.2,517,8383.29,0
CASH_OUT,82940.31,0,132372,49864.36,0
DEBIT,8727.74,874042.26,12636,0,0
PAYMENT,2599.46,871442.79,0,0,0
DEBIT,4874.49,0,253104,0,0
PAYMENT,6444.64,5574.36,0,0,0
DEBIT,5149.66,0,52752,24044.18,0
CASH_OUT,136872.92,25203.05,217806,0,0
CASH_OUT,94253.33,0,99773,965870.05,0
PAYMENT,3454.08,5577.88,0,0,0
PAYMENT,4316.2,6682.8,0,0,0
PAYMENT,2131.84,0,0,0,0
PAYMENT,12986.61,10363.39,0,0,0
TRANSFER,42712.39,0,57901.66,24044.18,0
TRANSFER,77957.68,0,94900,22233.65,0
TRANSFER,17231.46,0,24672,0,0
TRANSFER,78766.03,0,103772,277515.05,0
TRANSFER,224606.64,0,354678.92,0,0
TRANSFER,379856.23,0,900180,19169204.93,0
TRANSFER,147543.1,0,223220,16518.36,0
TRANSFER,1429051.47,0,2041543.62,19169204.93,0
TRANSFER,358831.92,0,474384.53,3420103.09,0
TRANSFER,209711.11,0,399214.71,2415.16,0
TRANSFER,583848.46,0,667778,2107778.11,0
TRANSFER,1724887.05,0,3470595.1,19169204.93,0
TRANSFER,710544.77,0,738531.5,16518.36,0
TRANSFER,581294.26,0,5195482.15,19169204.93,0
TRANSFER,11996.58,0,40255,0,0
PAYMENT,2875.1,12567.9,0,0,0
PAYMENT,8586.98,0,0,0,0
PAYMENT,1035.36,70600.64,0,0,0
PAYMENT,1063.53,82020.47,0,0,0
PAYMENT,1019.9,203217.1,0,0,0
PAYMENT,4059.38,22244.62,0,0,0
